bin_number,card_name,note
521176,BC카드,(SC제일)
521189,신한카드,
522971,KB국민카드,
523527,BC카드,(SC제일)
523612,KB국민카드,(탄탄대로 Biz)
523830,하나카드,(체크)
523930,현대카드,
524040,NH농협카드,(티타늄)
524041,NH농협카드,(티타늄)
524144,씨티카드,(리워드카드)
524242,하나카드,(체크)
524333,현대카드,(플래티늄)
524335,하나카드,(넘버엔카드)
524353,하나카드,(플래티늄)
527289,KB국민카드,(체크)
527810,씨티카드,
528268,전북은행,
528638,신한카드,
528937,롯데카드,
529942,현대카드,
531070,삼성카드,
531194,BC카드,(기업)
531838,하나카드,(체크)
532092,하나카드,"(비바G 체크, 비바X체크)"
532750,"하나카드, 토스뱅크, 토스뱅크카드",(체크)
532792,하나카드,
532793,현대카드,
534292,롯데카드,
535020,우리카드,(다모아카드)
535180,신한카드,
536125,삼성카드,
536148,삼성카드,
536181,삼성카드,
536320,우리카드,
536323,BC카드,(SC제일)
536326,KB국민카드,(Bev V)
536510,KB국민카드,(카카오뱅크 체크카드)
536648,삼성카드,
536886,BC카드,(수협)
537120,우리카드,(블루다이아몬드카드)
537145,우리카드,(그랑블루 체크카드)
537706,KB국민카드,(올레 GiGA APT 카드)
537720,BC카드,(바로비씨)
537943,신한카드,
538159,BC카드,(우체국 체크)
538413,신한카드,
538661,하나카드,
538720,"우리카드,BC카드",
538803,BC카드,(기업)
538811,NH농협카드,
538812,NH농협카드,
538832,BC카드,(부산)
5388XX,BC카드,
538903,BC카드,(기업)
538920,우리카드,(체크)
540388,씨티카드,
540447,삼성카드,(플래티늄)
540926,KB국민카드,(골드)
540947,KB국민카드,(실버)
541707,하나카드,
542158,신한카드,
542416,NH농협카드,
542586,NH농협카드,
542879,신한카드,(AK플라자카드)
543000,NH농협카드,
543017,NH농협카드,
543333,현대카드,
5441XX,하나카드,(골드)
546111,NH농협카드,
546112,NH농협카드,(체크)
546252,하나카드,
546465,BC카드,(토스카드)
548020,우리카드,(한국장학재단 체크카드)
549840,신한카드,
550347,현대카드,
551431,BC카드,(대구)
552014,삼성카드,
552070,삼성카드,(플래티늄)
552103,BC카드,(기업)
552111,NH농협카드,
552112,NH농협카드,
552123,BC카드,(SC제일)
552125,하나카드,
552132,BC카드,(부산)
552133,하나카드,
552136,롯데카드,
552139,BC카드,(경남)
552220,우리카드,(플래티늄)
552290,현대카드,(레드)
552323,하나카드,
552377,현대카드,
552576,신한카드,
553177,하나카드,
553820,우리카드,
554346,KB국민카드,(프리패스카드 발급중단)
554959,KB국민카드,(굿데이플래티늄)
557042,KB국민카드,(가온올림 신용카드)
558453,씨티카드,
558526,KB국민카드,(체크)
558813,현대카드,
558903,BC카드,(기업)
5589XX,우리카드,
559123,BC카드,(SC제일)
559410,신한카드,(플래티늄 체크)
559434,NH농협카드,
559438,NH농협카드,
559924,현대카드,
588644,한국씨티은행,(국제직불카드)
589807,신한카드,
589808,KB국민카드,(My Q 전자통장 직불카드)
5898XX,"대한민국의 모든 Maestro, Plus직불카드",
604823,BC카드,(SC제일)
6048XX,BC카드,
605609,신한카드,
605615,우리카드,
606045,신한카드,
621003,BC카드,(기업)
621020,우리카드,
621023,BC카드,(SC제일)
621025,하나카드,
621031,BC카드,(대구)
621032,BC카드,(부산)
621078,신한카드,
621079,하나카드,
6210XX,BC카드,(체크)
621249,BC카드,(중국은행)
621640,BC카드,(수협)
623358,롯데카드,
623374,KB국민카드,(체크)
623393,우리카드,
624303,BC카드,(기업)
624331,신한카드,
624348,신한카드,(체크)
624363,NH농협카드,
624368,현대카드,
624411,삼성카드,
624414,BC카드,(우체국)
624449,NH농협카드,
6244XX,하나카드,(체크)
625006,KB국민카드,(KT Super DC7 신용카드)
625103,BC카드,(기업)
625104,롯데카드,(신용)
625111,NH농협카드,
625112,NH농협카드,
625120,BC카드,(바로비씨)
625132,BC카드,(부산)
625178,신한카드,
625243,BC카드,(수협)
625320,우리카드,
6253XX,BC카드,(신용)
625804,KB국민카드,(신용 K-World)
625817,삼성카드,(신용)
625904,롯데카드,(신용)
626261,하나카드,(체크)
626275,BC카드,(우체국)
636093,NH농협카드,
636094,우리카드,
6360XX,BC카드,
636189,하나카드,(티드림체크)
642250,NH농협카드,
651011,NH농협카드,
651012,NH농협카드,
6541XX,비씨 글로벌카드,
655603,BC카드,(기업)
655616,BC카드,(제주)
655620,우리카드,
655623,BC카드,(SC제일)
655632,BC카드,(부산)
655639,BC카드,(경남)
6556XX,비씨 글로벌카드,
657020,우리카드,(체크)
657311,NH농협카드,
657312,NH농협카드,
657316,BC카드,(제주)
657331,BC카드,(대구)
657332,BC카드,(부산)
657339,BC카드,(경남)
9000XX,직불카드,
9035XX,BC카드,(제주)
930037,전북은행,
930144,BC카드,(코나카드)
935023,BC카드,(SC제일)
935071,BC카드,(우체국)
940010,한국씨티은행,(신세계쿼트로)
940090,씨티카드,
940327,씨티카드,
940388,씨티카드,
940701,수협중앙회,
940702,수협중앙회,(체크)
940915,롯데카드,(골드)
940919,롯데카드,
940951,롯데카드,(체크)
940983,롯데카드,
941009,삼성카드,(신용)
941029,삼성카드,(체크)
941034,삼성카드,
941051,하나카드,
941052,하나카드,
941053,하나카드,
941061,신한카드,(신용)
941080,신한카드,
941082,신한카드,
941083,신한카드,(선불)
941085,삼성카드,(신용)
941088,삼성카드,(체크)
941090,삼성카드,(선불)
941098,신한카드,(선불)
9410XX,BC카드,(실버 일반)
941116,NH농협카드,(체크)
941117,NH농협카드,(신용)
941161,신한카드,(나라사랑카드)
941181,하나카드,
941190,신한카드,
941581,하나카드,
941642,BC카드,(토스카드)
941643,BC카드,(한국투자증권)
941648,BC카드,(신협)
941691,BC카드,(NH투자증권)
941696,BC카드,(케이뱅크)
942003,BC카드,(기업)
942011,NH농협카드,
942012,NH농협카드,
942025,하나카드,
942061,신한카드,(체크)
942062,신한카드,
942073,신한카드,
942078,신한카드,
942084,삼성카드,
942090,삼성카드,(선불)
9420XX,BC카드,(실버 우량)
942101,삼성카드,
942150,BC카드,(우체국 바로 듀얼)
942520,우리카드,(신용)
943016,NH농협카드,
943017,NH농협카드,
943020,BC카드,(바로비씨)
9430XX,BC카드,(골드)
943116,NH농협카드,
943117,NH농협카드,
943133,현대카드,
943135,현대카드,
943150,BC카드,(KDB산업은행 바로 듀얼)
943160,현대카드,
943520,우리카드,
943645,KB국민카드,(체크)
943646,KB국민카드,(체크)
943666,KB국민카드,(리브 Next 카드)
944002,BC카드,(산업)
944003,BC카드,(기업)
944009,BC카드,(유안타증권)
944011,NH농협카드,
944012,NH농협카드,
944030,BC카드,(미래에셋증권)
944031,BC카드,(대구)
944032,BC카드,(부산)
944044,BC카드,(코나카드)
944045,BC카드,(새마을금고)
944061,BC카드,(교보증권)
944063,BC카드,(SK증권)
944071,BC카드,(우체국)
